task_id;property_id;booking_id;category;title;task_date;task_status;assigned_by;assigned_to;parent_task_id
tsk_00001;prop_40;null;Preventive Maintenance;Seasonal HVAC Filter Cleaning;2026-01-01;Approved;MNG_482;HKP_703;null
tsk_00003;prop_43;book_0004;Reactive Maintenance;Wi-Fi & Network Connectivity Restore;2026-01-02;In Progress;GRO_831;HKP_188;null
tsk_00004;prop_31;book_0052;Reactive Maintenance;Emergency Lockout Resolution;2026-01-02;In Progress;GRO_612;MNT_904;null
tsk_00006;prop_1;null;Preventive Maintenance;Seasonal HVAC Filter Cleaning;2026-01-02;Invoiced;MNG_482;HKP_951;null
tsk_00010;prop_35;null;Preventive Maintenance;Safety Equipment Inspection;2026-01-02;Backlog;MNG_482;HKP_188;null
tsk_00013;prop_43;book_0004;Cleaning;Check-out Cleaning;2026-01-03;Scheduled;GRO_831;HKP_188;
tsk_00014;prop_43;book_0004;Laundry;Linen Management;2026-01-03;Verified;GRO_831;HKP_305;tsk_00013
tsk_00017;prop_3;book_0028;Cleaning;Check-out Cleaning;2026-01-03;Canceled;GRO_612;HKP_102;
tsk_00018;prop_3;book_0028;Laundry;Linen Management;2026-01-03;Backlog;GRO_612;HKP_865;tsk_00017
tsk_00021;prop_31;book_0052;Cleaning;Check-out Cleaning;2026-01-03;Reported;GRO_612;HKP_877;
tsk_00022;prop_31;book_0052;Laundry;Linen Management;2026-01-03;On Hold;GRO_612;HKP_305;tsk_00021
tsk_00026;prop_40;null;Preventive Maintenance;Battery Replacement Cycle;2026-01-03;On Hold;MNG_482;MNT_904;null
tsk_00055;prop_69;null;Preventive Maintenance;Battery Replacement Cycle;2026-01-04;Reported;MNG_482;HKP_810;null
tsk_00056;prop_15;book_0014;Cleaning;Check-out Cleaning;2026-01-05;Scheduled;GRO_254;HKP_627;
tsk_00057;prop_15;book_0014;Laundry;Linen Management;2026-01-05;Scheduled;GRO_254;MNT_683;tsk_00056
tsk_00064;prop_35;book_0038;Cleaning;Check-out Cleaning;2026-01-05;In Progress;GRO_831;HKP_552;
tsk_00065;prop_35;book_0038;Laundry;Linen Management;2026-01-05;Completed;GRO_831;HKP_640;tsk_00064
tsk_00084;prop_66;book_0007;Cleaning;Check-out Cleaning;2026-01-06;On Hold;GRO_390;HKP_134;
tsk_00085;prop_66;book_0007;Laundry;Linen Management;2026-01-06;Backlog;GRO_390;MNT_157;tsk_00084
tsk_00093;prop_67;book_0027;Cleaning;Check-out Cleaning;2026-01-06;On Hold;GRO_612;HKP_922;
tsk_00094;prop_67;book_0027;Laundry;Linen Management;2026-01-06;Scheduled;GRO_612;HKP_922;tsk_00093
tsk_00095;prop_1;book_0035;Cleaning;Check-out Cleaning;2026-01-06;Verified;GRO_612;MNT_683;
tsk_00096;prop_1;book_0035;Laundry;Linen Management;2026-01-06;On Hold;GRO_612;HKP_102;tsk_00095
tsk_00097;prop_42;book_0036;Cleaning;Check-out Cleaning;2026-01-06;Backlog;GRO_254;HKP_552;
tsk_00098;prop_42;book_0036;Laundry;Linen Management;2026-01-06;Scheduled;GRO_254;MNT_904;tsk_00097
tsk_00111;prop_2;book_0055;Cleaning;Check-out Cleaning;2026-01-06;Backlog;GRO_831;HKP_951;
tsk_00112;prop_2;book_0055;Laundry;Linen Management;2026-01-06;On Hold;GRO_831;HKP_293;tsk_00111
tsk_00115;prop_40;book_0065;Reactive Maintenance;Water Leak Troubleshooting;2026-01-06;On Hold;GRO_831;HKP_188;null
tsk_00116;prop_3;book_0073;Cleaning;Check-out Cleaning;2026-01-06;Verified;GRO_254;HKP_627;
tsk_00117;prop_3;book_0073;Laundry;Linen Management;2026-01-06;Invoiced;GRO_254;HKP_339;tsk_00116
tsk_00138;prop_69;book_0051;Cleaning;Check-out Cleaning;2026-01-07;Completed;GRO_612;HKP_922;
tsk_00139;prop_69;book_0051;Laundry;Linen Management;2026-01-07;In Progress;GRO_612;HKP_599;tsk_00138
tsk_00142;prop_43;book_0071;Cleaning;Check-out Cleaning;2026-01-07;Scheduled;GRO_831;HKP_305;
tsk_00143;prop_43;book_0071;Laundry;Linen Management;2026-01-07;On Hold;GRO_831;HKP_640;tsk_00142
tsk_00157;prop_65;book_0011;Cleaning;Check-out Cleaning;2026-01-08;Canceled;GRO_254;HKP_599;
tsk_00158;prop_65;book_0011;Laundry;Linen Management;2026-01-08;Scheduled;GRO_254;HKP_781;tsk_00157
tsk_00167;prop_40;book_0065;Cleaning;Check-out Cleaning;2026-01-08;Scheduled;GRO_831;HKP_640;
tsk_00168;prop_40;book_0065;Laundry;Linen Management;2026-01-08;Approved;GRO_831;HKP_188;tsk_00167
tsk_00189;prop_42;null;Preventive Maintenance;Window & Balcony Safety Audit;2026-01-08;Completed;MNG_482;HKP_703;null
tsk_00191;prop_66;null;Preventive Maintenance;Safety Equipment Inspection;2026-01-08;In Progress;MNG_482;HKP_810;null
